nome,tarefas,concluido
2067 - ES ESPÍRITO SANTO - AV. SOMATIVA EF 2025 (PAEBES ALFA),rel_tratamento,False
2067 - ES ESPÍRITO SANTO - AV. SOMATIVA EF 2025 (PAEBES ALFA),rel_verificacao,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),frop1,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),frop1_ret,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),frop2,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),frop3,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),dv_banco,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),dv_producao,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),imagem,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),conf_hmg,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),conf_pro_t1,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),recuperacao,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),recuperacao_t2,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),nm_aluno,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),categorizacao_tn,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),rel_categroizacao,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),certif_obj,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),certif_ctx,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),certif_nap,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),certif_esc,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),certif_sinc,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),certif_co,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),co_rel_pgto,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),medida_obj,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),medida_ctx,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),medida_esc,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),pareamento,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),rel_tratamento,False
2068 - ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),rel_verificacao,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),frop1,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),frop1_ret,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),frop2,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),frop3,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),dv_banco,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),dv_producao,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),imagem,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),conf_hmg,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),conf_pro_t1,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),recuperacao,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),recuperacao_t2,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),nm_aluno,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),categorizacao_tn,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),rel_categroizacao,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),certif_obj,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),certif_ctx,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),certif_nap,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),certif_esc,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),certif_sinc,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),certif_co,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),co_rel_pgto,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),medida_obj,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),medida_ctx,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),medida_esc,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),pareamento,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),rel_tratamento,False
2069 - GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),rel_verificacao,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),frop1,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),frop1_ret,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),frop2,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),frop3,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),dv_banco,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),dv_producao,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),imagem,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),conf_hmg,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),conf_pro_t1,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),recuperacao,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),recuperacao_t2,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),nm_aluno,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),categorizacao_tn,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),rel_categroizacao,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),certif_obj,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),certif_ctx,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),certif_nap,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),certif_esc,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),certif_sinc,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),certif_co,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),co_rel_pgto,False
2071 - PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),medida_obj,False
