subprograma,nome,dv_banco,dv_producao,categorizacao_tn,rel_categroizacao,certif_sinc,nm_aluno,certif_obj,certif_ctx,certif_esc,certif_co,co_rel_pgto,medida_obj,medida_ctx,medida_esc,pareamento,rel_verificacao
2164,BR FRM SALVADOR - AV. FORMATIVA 2025,,,,,,,,,,,,,,,,
2167,MG MINAS GERAIS - 1ª AV. FORMATIVA 2026 (DIAGNÓSTICA),,,,,,,,,,,,,,,,
2173,SE ARACAJU - 1ª AV. FORMATIVA 2026,,,,,,,,,,,,,,,,
2216,GO GOIÁS - AV. DIAGNÓSTICA 2026,,,,,,,,,,,,,,,,
2223, - ES ESPÍRITO SANTO - AV. SOCIOEMOCIONAL 2025,,,,,,,,,,,,,,,,
